date,NASDAQ nominal value,S&P nominal value,inflation factor,NASDAQ value in real terms,S&P value in real terms,TQQQ in nominal terms,UPRO in nominal terms,QLD in nominal terms,TQQQ in real terms,UPRO in real terms,QLD in real terms
2004-04-28,1985.54,1122.41,1.747385272145144,3469.503353255069,1961.282703308431,702.1492374554235,44416.23623120876,1891.9046301894678,1226.9252363775506,77612.27703453372,3305.886287096281
2004-04-29,1946.1,1113.89,1.747385272145144,3400.5864781216646,1946.3949807897545,660.5994970183518,43403.16680603015,1817.2396065124365,1154.321831876358,75842.05444131608,3175.417724378668
2004-04-30,1919.39,1107.3,1.747385272145144,3353.913817502668,1934.8797118463178,633.6542787488545,42631.25355759687,1767.795845137352,1107.238154317502,74493.22459963005,3089.0204239523864
2004-05-03,1926.09,1117.49,1.7399574920297556,3351.3147258235917,1944.3850977683317,637.2957416129274,43806.66471541879,1774.541225762501,1108.8675002580721,76221.73447242846,3087.6263006811296
2004-05-04,1969.97,1119.55,1.7399574920297556,3427.6640605738576,1947.9694102019128,684.1573076684383,44047.34465198316,1861.5040199879204,1190.4046332046057,76640.5073312349,3238.93786602149
2004-05-05,1967.33,1121.53,1.7399574920297556,3423.070572794899,1951.4145260361317,679.8112259844806,44279.456190206925,1853.5917915601108,1182.8426358176303,77044.37154115387,3225.170924889872
2004-05-06,1923.3,1113.99,1.7399574920297556,3346.460244420829,1938.2952465462274,634.1824037790176,43384.790328867195,1770.6212460006022,1103.4504247687412,75487.69097285256,3080.8057025258086
2004-05-07,1917.96,1098.7,1.7399574920297556,3337.16887141339,1911.6912964930925,637.9979196842821,41596.79798564805,1777.695726190306,1110.089260254065,72376.66029957657,3093.1149973341
2004-05-10,1907.98,1087.12,1.7399574920297556,3319.804095642933,1891.5425887353877,634.4377402988313,40280.038973600924,1771.0549056488965,1103.8946994593798,70085.55559136748,3081.560251879849
2004-05-11,1931.48,1095.45,1.7399574920297556,3360.6930967056323,1906.0364346439958,660.0727213999826,41204.515476640845,1818.7347876641006,1148.4984768843692,71694.10540903725,3164.5212198112986
2004-05-12,1927.23,1097.28,1.7399574920297556,3353.298277364506,1909.2205568544102,652.422234438171,41409.52969470395,1804.6534346924363,1135.1869547774893,72050.82143372878,3140.020264210336
2004-05-13,1937.87,1096.44,1.7399574920297556,3371.811425079702,1907.7589925611053,664.3620754587622,41312.933724636816,1826.643225519917,1155.961770614911,71882.74855191058,3178.281565508778
2004-05-14,1897.57,1095.7,1.7399574920297556,3301.691138150903,1906.4714240170033,620.5551938161767,41227.79414253874,1746.3178343970026,1079.7396586984337,71734.60929817075,3038.518799424243
2004-05-17,1887.74,1084.1,1.7399574920297556,3284.587356004251,1886.2879171094578,617.0631699655349,39916.889247037434,1739.7394879958633,1073.6636856371629,69453.69050390477,3027.072756318413
2004-05-18,1903.39,1091.49,1.7399574920297556,3311.8176907545167,1899.146202975558,633.6688173594569,40731.75389606335,1770.9243873569583,1102.5568062302218,70871.52035496761,3081.3331555999443
2004-05-19,1898.16,1088.68,1.7399574920297556,3302.717713071201,1894.2569224229544,622.9125934362418,40415.695916577235,1750.856586074518,1083.841433829074,70321.59290564495,3046.4160344099982
2004-05-20,1890.18,1089.19,1.7399574920297556,3288.8328522848037,1895.1443007438895,614.9556429111157,40471.035533853435,1735.9194476597033,1069.9966781491707,70417.88148733074,3020.426048515656
2004-05-21,1899.85,1093.56,1.7399574920297556,3305.658241232731,1902.7479149840594,624.6078883360507,40956.70238233731,1754.057058263144,1086.7911748911963,71262.92115898074,3051.984719972631
2004-05-24,1915.56,1095.41,1.7399574920297556,3332.9929734325183,1905.9668363443147,638.9856272504601,41163.085508729215,1780.9474656937412,1111.8078294337708,71622.01902597486,3098.772885845231
2004-05-25,1966.68,1113.05,1.7399574920297556,3421.93960042508,1936.6596865037193,695.6112174930435,43150.21564144064,1886.1358343445286,1210.3339494169606,75079.5409880242,3281.7961759535565
2004-05-26,1976.16,1114.94,1.7399574920297556,3438.434397449522,1939.9482061636559,702.6973626478502,43368.469417724926,1898.9159375835577,1222.6635407686772,75459.29328123381,3304.033012333219
2004-05-27,1969.04,1121.28,1.7399574920297556,3426.04590010627,1950.9795366631242,696.400373257552,44106.73533253309,1887.542212621864,1211.7070469017958,76743.84459081448,3284.2432143738342
2004-05-28,1990.81,1120.68,1.7399574920297556,3463.9247747077575,1949.9355621679065,723.1065834078032,44034.337684562335,1935.7698185600807,1258.1747173364465,76617.87576082244,3368.157198648693
2004-06-01,1972.71,1121.2,1.7335097935415562,3419.7121048173635,1943.611180518793,723.1415399000867,44094.04388184985,1935.8022463391233,1253.5729415335225,76437.45690603786,3355.7321523886144
2004-06-02,1998.32,1124.99,1.7335097935415562,3464.1072906299623,1950.1811826363153,730.2490862150196,44539.60578792067,1948.4565762204852,1265.8939426785087,77209.84283384067,3377.6685571686608
2004-06-03,1960.26,1116.64,1.7335097935415562,3398.129907887771,1935.7063758602435,687.2896056450525,43546.24004210179,1872.0098635803179,1191.4232623850125,75487.83358489492,3245.147432122874
2004-06-04,1995.5,1122.5,1.7335097935415562,3459.2187930121754,1945.864743250397,701.2910733972175,44230.244716898014,1897.4052890522657,1215.6949438573467,76673.56238748238,3289.17065088965
2004-06-07,2020.62,1140.42,1.7335097935415562,3502.764559025939,1976.9292387506616,753.9136888545685,46346.9708597016,1992.2926978854935,1306.916763114436,80342.92788627784,3453.6589033858318
2004-06-08,2023.54,1142.18,1.7335097935415562,3507.8264076230807,1979.9802159872947,760.7885026490793,46559.87781758534,2004.3734557391758,1318.834320155995,80712.00418288245,3474.6010154385945
2004-06-09,1989.99,1131.33,1.7335097935415562,3449.6671540497614,1961.1716347273687,719.6317432366976,45231.32679828048,1932.0547010377923,1247.4886746441978,78408.94797969786,3349.2357459070163
